0,1,2,3,4,5
1637107200,427.3,429.48,429.48,427.3,13.4802
1637106900,427.94,430.2,430.2,427.98,22.3491
1637106600,428.84,430.2,430.2,430.2,11.6581
1637106300,430.0,430.2,430.2,430.2,0.7091
1637106000,430.2,433.54,431.47,430.2,25.6529
1637105700,430.2,431.97,431.97,430.2,10.121
1637105400,430.58,433.92,433.92,431.97,12.2689
1637105100,433.93,441.99,439.7,433.93,168.9061
1637104800,439.8,441.99,441.98,439.8,76.6895
1637104500,441.95,447.07,447.07,441.99,68.1433
1637104200,444.35,447.21,446.81,447.07,18.8131
1637103900,444.18,446.9,446.81,446.9,11.647
1637103600,444.19,446.81,444.19,446.81,33.6234
1637103300,443.72,445.42,443.72,444.19,56.6069
1637103000,443.52,444.27,443.94,443.72,13.2904
1637102700,442.72,446.88,444.62,443.94,80.2482
1637102400,442.59,447.56,447.56,444.62,102.7079
1637102100,447.56,454.03,447.65,447.56,83.1966
1637101800,446.7,447.66,447.03,447.65,123.1204
1637101500,446.71,447.67,446.73,446.82,51.9103
1637101200,446.72,447.42,446.73,446.73,30.9733
1637100900,444.97,446.73,445.0,446.72,179.9084
1637100600,442.0,445.0,442.0,444.99,16.3997
1637100300,440.55,443.02,440.55,442.0,53.7076
1637100000,440.54,440.54,440.54,440.54,16.3246
1637099700,440.35,440.55,440.35,440.55,12.2039
1637099100,438.0,440.36,438.1,440.36,43.8806
1637098800,438.27,438.72,438.27,438.58,6.3422
1637098500,438.27,438.79,438.27,438.27,11.5064
1637097900,438.0,438.79,438.6,438.79,15.5378
1637097600,438.23,439.5,438.23,438.6,14.0117
1637097000,437.11,438.24,437.11,438.23,2.8326
1637096700,437.55,440.0,438.02,437.55,86.8843
1637096400,431.2,437.86,431.84,437.86,24.3132
1637096100,430.02,431.12,430.02,431.12,0.3824
1637095500,430.01,430.35,430.02,430.01,23.0417
1637094900,430.42,432.14,432.14,430.42,1.4289
1637094600,431.13,436.18,436.18,432.83,12.9512
1637094000,435.0,436.7,436.7,436.49,109.508
1637093700,435.0,443.0,442.99,436.0,187.2827
1637093400,442.02,443.2,443.05,442.02,101.1504
1637093100,443.0,443.0,443.0,443.0,122.7144
1637092800,443.0,443.0,443.0,443.0,23.7215
1637092500,440.58,443.33,440.58,443.01,10.2949
1637092200,440.43,443.15,440.43,440.58,8.1513
1637091900,440.83,441.02,441.02,440.84,11.4436
1637091600,442.13,447.0,445.0,443.42,220.8282
1637091300,440.74,450.0,445.57,445.0,201.6567
1637091000,444.51,453.01,452.05,445.57,464.8423
1637090700,451.08,452.17,451.08,452.07,75.2667
1637090400,451.0,454.27,451.0,452.0,134.2154
