0,1,2,3,4,5
1651104000,0.999,1.001,1.001,1.0,218.65
1651103700,0.999,1.001,0.999,1.001,850.69
1651103400,0.999,1.001,1.001,0.999,8675.86
1651103100,0.999,1.001,1.001,0.999,822.62
1651102800,0.999,1.001,1.001,0.999,2049.0
1651102500,1.001,1.001,1.001,1.001,557.13
1651102200,0.999,1.001,0.999,1.001,1014.9
1651101900,0.999,1.001,1.001,1.001,3473.97
1651101600,0.999,1.001,1.001,0.999,568.6
1651101300,0.999,1.001,1.001,1.001,588.89
1651101000,0.999,1.001,0.999,0.999,415.08
1651100700,0.999,1.001,1.001,0.999,512.8
1651100400,0.999,1.001,0.999,0.999,1233.37
1651100100,0.999,1.001,1.001,1.001,432.91
1651099800,0.999,1.001,1.001,1.001,613.35
1651099500,1.0,1.001,1.0,1.001,263.71
1651099200,0.999,1.001,1.001,1.0,1927.37
1651098900,0.999,1.001,1.001,1.001,464.88
1651098600,0.999,1.001,1.001,1.001,1468.44
1651098300,0.999,1.001,1.001,1.001,169.59
1651098000,0.999,1.001,0.999,1.001,288.34
1651097700,0.999,1.001,0.999,0.999,4155.26
1651097400,0.999,1.001,0.999,0.999,6038.87
1651097100,0.999,1.001,1.001,1.001,1140.57
1651096800,0.999,1.001,0.999,1.001,2052.52
1651096500,0.999,1.001,0.999,1.001,2411.39
1651096200,0.999,1.001,1.001,0.999,949.74
1651095900,0.999,1.001,1.001,1.001,436.24
1651095600,0.999,1.001,0.999,0.999,640.72
1651095300,0.999,1.001,1.001,1.001,9140.48
1651095000,0.999,1.001,0.999,1.001,827.13
1651094700,0.999,1.001,1.001,0.999,325.9
1651094400,0.999,1.001,1.001,1.001,10412.83
1651094100,0.999,1.001,1.001,1.001,6709.34
1651093800,0.999,1.001,1.001,1.001,993.22
1651093500,0.999,1.001,1.001,1.001,554.05
1651093200,0.999,1.001,1.001,1.001,1670.3
1651092900,0.999,1.001,0.999,1.001,4713.28
1651092600,0.999,1.001,1.001,1.001,1129.53
1651092300,0.999,1.001,1.001,1.001,715.78
1651092000,0.999,1.001,1.001,1.001,3603.66
1651091700,0.999,1.001,1.001,1.001,1039.22
1651091400,0.999,1.001,1.001,1.001,4100.48
1651091100,0.999,1.001,0.999,1.001,3826.76
1651090800,0.999,1.001,0.999,0.999,4289.74
1651090500,0.999,1.001,0.999,1.001,195.95
1651090200,0.999,1.001,0.999,0.999,4375.67
1651089900,0.999,1.001,1.001,1.001,509.42
1651089600,0.999,1.001,0.999,0.999,900.2
