0,1,2,3,4,5
1628812800,0.09335,0.09498,0.09493,0.09355,83431
1628812500,0.09467,0.09612,0.09612,0.095,80595
1628812200,0.09471,0.09625,0.09571,0.09625,101173
1628811900,0.0942,0.09647,0.09453,0.09584,139444
1628811600,0.09421,0.0958,0.0958,0.09421,76904
1628811300,0.09577,0.09717,0.09622,0.09577,77487
1628811000,0.0954,0.09637,0.09621,0.09605,18084
1628810700,0.09532,0.09688,0.09662,0.09682,44606
1628810400,0.09636,0.09898,0.09871,0.09732,70797
1628810100,0.09841,0.09894,0.09866,0.09886,21198
1628809800,0.09862,0.0996,0.09932,0.09871,46271
1628809500,0.09643,0.09969,0.09643,0.09921,115565
1628809200,0.09651,0.09885,0.09763,0.09651,63466
1628808900,0.09682,0.0981,0.09722,0.09757,74130
1628808600,0.09749,0.09863,0.09863,0.09749,103036
1628808300,0.09828,0.10129,0.10125,0.09884,60197
1628808000,0.09975,0.10146,0.09975,0.10139,62504
1628807700,0.09831,0.10086,0.1002,0.09973,466047
1628807400,0.10019,0.1024,0.10191,0.10019,101051
1628807100,0.10123,0.1041,0.10397,0.10148,152920
1628806800,0.10411,0.10588,0.10588,0.10419,70814
1628806500,0.10539,0.10893,0.10869,0.10595,149823
1628806200,0.10585,0.10824,0.10714,0.10824,541854
1628805900,0.10604,0.10801,0.10756,0.10765,95338
1628805600,0.1076,0.10841,0.1076,0.1079,43935
1628805300,0.10463,0.10743,0.10506,0.10736,103166
1628805000,0.10333,0.10556,0.10502,0.10506,328842
1628804700,0.10502,0.10712,0.10712,0.10533,53504
1628804400,0.10674,0.10838,0.10782,0.10674,123894
1628804100,0.10706,0.10857,0.10722,0.10727,103358
1628803800,0.10732,0.10928,0.10882,0.10768,32112
1628803500,0.10836,0.11011,0.10868,0.10902,46273
1628803200,0.10861,0.11007,0.10861,0.10942,89052
1628802900,0.1083,0.10993,0.1083,0.10918,48256
1628802600,0.10861,0.10968,0.10921,0.10861,63067
1628802300,0.1083,0.10988,0.10916,0.10945,84623
1628802000,0.10911,0.11103,0.11103,0.10916,160687
1628801700,0.10863,0.112,0.10945,0.11104,139064
1628801400,0.10921,0.11053,0.11017,0.10945,68837
1628801100,0.1102,0.11408,0.11268,0.11028,221240
1628800800,0.11033,0.11338,0.11033,0.11261,61750
1628800500,0.10962,0.11119,0.11054,0.11041,97187
1628800200,0.1097,0.11239,0.11016,0.11104,141385
1628799900,0.1084,0.11008,0.1084,0.11008,47886
1628799600,0.10761,0.10872,0.10761,0.10841,8676
1628799300,0.10669,0.1088,0.1088,0.10769,91549
1628799000,0.10667,0.1099,0.10797,0.10879,77289
1628798700,0.10771,0.11076,0.11,0.10771,240543
1628798400,0.10513,0.10999,0.10513,0.1094,45257
1628798100,0.10436,0.10569,0.1053,0.10525,148917
