0,1,2,3,4,5
1653609600,1.361,1.387,1.364,1.378,25430.89
1653609300,1.355,1.372,1.371,1.365,2894.6
1653609000,1.363,1.373,1.364,1.372,3252.44
1653608700,1.36,1.371,1.37,1.363,5212.79
1653608400,1.372,1.386,1.382,1.372,7443.62
1653608100,1.375,1.381,1.379,1.381,1471.37
1653607800,1.373,1.384,1.375,1.381,9580.96
1653607500,1.373,1.384,1.382,1.377,1809.48
1653607200,1.379,1.387,1.382,1.381,4075.11
1653606900,1.378,1.387,1.383,1.385,2184.6
1653606600,1.375,1.4,1.4,1.381,25691.92
1653606300,1.39,1.407,1.397,1.396,28848.92
1653606000,1.383,1.399,1.392,1.399,3023.35
1653605700,1.386,1.395,1.387,1.391,6330.41
1653605400,1.382,1.391,1.382,1.389,2641.9
1653605100,1.382,1.395,1.393,1.385,9654.5
1653604800,1.39,1.395,1.392,1.393,7015.64
1653604500,1.39,1.415,1.403,1.39,27585.21
1653604200,1.401,1.417,1.407,1.401,16394.62
1653603900,1.398,1.409,1.399,1.405,5940.87
1653603600,1.396,1.412,1.411,1.403,7934.48
1653603300,1.4,1.414,1.409,1.412,7454.79
1653603000,1.397,1.414,1.399,1.409,6414.07
1653602700,1.391,1.403,1.391,1.403,2888.59
1653602400,1.378,1.389,1.389,1.388,3838.45
1653602100,1.379,1.39,1.379,1.389,10590.81
1653601800,1.369,1.38,1.37,1.378,7919.93
1653601500,1.367,1.374,1.374,1.369,1192.4
1653601200,1.372,1.389,1.383,1.375,12277.58
1653600900,1.368,1.393,1.373,1.386,5053.11
1653600600,1.364,1.375,1.368,1.375,6976.47
1653600300,1.369,1.377,1.376,1.369,2696.79
1653600000,1.371,1.381,1.373,1.372,4914.56
1653599700,1.371,1.381,1.379,1.375,4922.77
1653599400,1.371,1.385,1.383,1.377,11197.38
1653599100,1.36,1.385,1.363,1.38,3960.09
1653598800,1.353,1.368,1.353,1.362,4185.58
1653598500,1.352,1.36,1.36,1.355,2891.73
1653598200,1.358,1.374,1.371,1.362,11293.22
1653597900,1.363,1.375,1.366,1.371,15080.56
1653597600,1.365,1.374,1.367,1.365,5607.95
1653597300,1.365,1.377,1.366,1.367,7984.51
1653597000,1.363,1.382,1.377,1.369,11983.5
1653596700,1.357,1.377,1.357,1.377,12117.65
1653596400,1.356,1.367,1.367,1.357,5645.47
1653596100,1.349,1.386,1.349,1.368,44438.45
1653595800,1.343,1.358,1.346,1.349,30140.77
1653595500,1.343,1.359,1.345,1.347,4826.53
1653595200,1.347,1.369,1.361,1.349,4433.48
1653594900,1.357,1.365,1.364,1.362,2899.66
1653594600,1.363,1.371,1.369,1.363,4290.51
1653594300,1.369,1.382,1.375,1.374,11847.38
1653594000,1.367,1.375,1.367,1.375,15716.48
1653593700,1.357,1.379,1.379,1.367,20333.53
1653593400,1.369,1.379,1.375,1.379,2908.51
1653593100,1.369,1.377,1.37,1.374,4120.28
1653592800,1.366,1.376,1.371,1.371,2767.36
1653592500,1.359,1.374,1.359,1.371,10661.57
1653592200,1.356,1.37,1.365,1.364,9135.73
1653591900,1.35,1.374,1.372,1.368,19781.47
1653591600,1.363,1.385,1.382,1.372,6256.64
1653591300,1.375,1.388,1.383,1.383,5444.97
1653591000,1.38,1.401,1.398,1.383,27662.59
1653590700,1.389,1.398,1.392,1.398,11409.52
1653590400,1.385,1.394,1.389,1.393,3606.96
1653590100,1.38,1.394,1.393,1.39,16619.27
1653589800,1.383,1.395,1.393,1.393,6361.96
1653589500,1.385,1.409,1.406,1.395,9122.52
1653589200,1.405,1.419,1.407,1.411,7431.49
1653588900,1.403,1.416,1.41,1.407,6365.09
1653588600,1.401,1.413,1.408,1.409,8114.04
1653588300,1.4,1.409,1.404,1.407,8519.0
1653588000,1.406,1.423,1.422,1.406,8744.85
1653587700,1.402,1.425,1.41,1.424,21520.47
1653587400,1.407,1.418,1.418,1.411,15967.65
1653587100,1.413,1.428,1.421,1.419,12321.67
1653586800,1.414,1.421,1.419,1.421,14914.79
1653586500,1.412,1.425,1.422,1.412,21390.58
1653586200,1.399,1.429,1.404,1.422,10408.73
1653585900,1.399,1.407,1.402,1.399,6465.93
1653585600,1.399,1.409,1.408,1.402,5384.75
1653585300,1.396,1.411,1.405,1.409,4269.43
1653585000,1.393,1.407,1.406,1.401,10504.39
1653584700,1.401,1.423,1.421,1.407,10664.25
1653584400,1.417,1.43,1.42,1.421,30458.09
1653584100,1.413,1.472,1.422,1.423,73067.65
1653583800,1.4,1.423,1.406,1.422,24285.0
1653583500,1.391,1.406,1.406,1.404,11589.09
1653583200,1.406,1.423,1.423,1.406,13821.88
1653582900,1.411,1.423,1.42,1.423,12739.09
1653582600,1.42,1.46,1.425,1.42,60478.56
1653582300,1.389,1.48,1.445,1.426,161375.65
1653582000,1.44,1.499,1.499,1.45,123728.58
1653696000,1.28,1.305,1.302,1.285,39278.08
1653695700,1.297,1.319,1.299,1.305,30139.25
1653695400,1.296,1.307,1.297,1.301,10172.35
1653695100,1.291,1.304,1.304,1.301,10616.72
1653694800,1.29,1.308,1.295,1.301,13436.98
1653694500,1.291,1.307,1.302,1.295,22009.52
1653694200,1.3,1.311,1.303,1.306,14009.94
1653693900,1.295,1.307,1.304,1.303,7666.14
1653693600,1.3,1.325,1.315,1.304,21465.37
1653693300,1.309,1.319,1.311,1.319,16010.81
1653693000,1.307,1.316,1.312,1.311,17922.44
1653692700,1.309,1.323,1.318,1.313,16827.22
1653692400,1.309,1.331,1.326,1.318,21210.89
1653692100,1.319,1.337,1.323,1.325,27236.6
1653691800,1.318,1.335,1.326,1.32,39492.77
1653691500,1.323,1.343,1.329,1.328,93870.57
1653691200,1.323,1.351,1.323,1.329,50296.97
1653690900,1.322,1.331,1.326,1.324,18463.36
1653690600,1.32,1.335,1.332,1.328,29355.53
1653690300,1.321,1.337,1.328,1.331,41405.47
1653690000,1.321,1.36,1.326,1.328,51452.96
1653689700,1.317,1.331,1.319,1.326,26540.03
1653689400,1.313,1.339,1.317,1.322,42042.57
1653689100,1.311,1.324,1.311,1.317,30285.65
1653688800,1.301,1.316,1.309,1.316,20314.25
1653688500,1.301,1.33,1.323,1.311,29517.87
1653688200,1.32,1.359,1.325,1.324,41826.58
1653687900,1.323,1.348,1.331,1.325,46520.12
1653687600,1.325,1.337,1.331,1.331,31681.42
1653687300,1.32,1.33,1.326,1.33,19125.87
1653687000,1.319,1.331,1.325,1.323,19342.43
1653686700,1.319,1.333,1.326,1.325,32568.14
1653686400,1.321,1.348,1.33,1.326,32276.64
1653686100,1.319,1.335,1.326,1.33,34054.68
1653685800,1.318,1.33,1.325,1.32,33776.16
1653685500,1.321,1.347,1.328,1.326,25362.43
1653685200,1.319,1.332,1.323,1.328,26808.63
1653684900,1.318,1.328,1.327,1.323,13482.03
1653684600,1.323,1.341,1.334,1.323,41076.87
1653684300,1.324,1.343,1.331,1.339,37704.64
1653684000,1.327,1.337,1.332,1.333,36137.28
1653683700,1.326,1.338,1.327,1.332,20999.37
1653683400,1.327,1.359,1.331,1.33,35040.55
1653683100,1.33,1.348,1.348,1.336,27059.32
1653682800,1.316,1.353,1.324,1.348,57524.68
1653682500,1.315,1.333,1.316,1.321,36071.84
1653682200,1.313,1.342,1.326,1.316,57103.44
