0,1,2,3,4,5
1635984000,4.68e-05,4.77e-05,4.69e-05,4.71e-05,1434425048
1635983700,4.56e-05,4.75e-05,4.75e-05,4.59e-05,1602125618
1635983400,4.72e-05,4.77e-05,4.73e-05,4.74e-05,821869053
1635983100,4.7e-05,4.84e-05,4.7e-05,4.73e-05,872039592
1635982800,4.7e-05,4.86e-05,4.86e-05,4.7e-05,1701546399
1635982500,4.79e-05,4.88e-05,4.85e-05,4.86e-05,373601654
1635982200,4.78e-05,4.9e-05,4.88e-05,4.8e-05,421489716
1635981900,4.7e-05,4.97e-05,4.92e-05,4.88e-05,1486582339
1635981600,4.88e-05,4.98e-05,4.93e-05,4.94e-05,397891610
1635981300,4.82e-05,4.94e-05,4.85e-05,4.94e-05,2737483908
1635981000,4.8e-05,4.87e-05,4.86e-05,4.84e-05,1037191533
1635980700,4.66e-05,4.9e-05,4.88e-05,4.86e-05,2041163937
1635980400,4.65e-05,4.91e-05,4.66e-05,4.9e-05,1853729326
1635980100,4.57e-05,4.71e-05,4.57e-05,4.66e-05,1483392796
1635979800,4.52e-05,4.7e-05,4.62e-05,4.63e-05,1959153715
1635979500,4.5e-05,4.71e-05,4.57e-05,4.62e-05,2801265848
1635979200,4.32e-05,4.68e-05,4.66e-05,4.57e-05,5384945728
1635978900,4.66e-05,4.96e-05,4.8e-05,4.66e-05,2570501323
1635978600,4.79e-05,4.97e-05,4.83e-05,4.79e-05,2289189715
1635978300,4.8e-05,5e-05,4.88e-05,4.85e-05,3702672559
1635978000,4.5e-05,5e-05,4.81e-05,4.89e-05,2934757804
1635977700,4.81e-05,5.05e-05,5e-05,4.82e-05,1463979310
1635977400,4.81e-05,5.03e-05,5e-05,4.81e-05,705444884
1635977100,4.93e-05,5.09e-05,5.02e-05,5e-05,650846763
1635976800,4.76e-05,5.15e-05,5.15e-05,5.01e-05,1735628681
1635976500,5e-05,5.17e-05,5.17e-05,5.16e-05,903616457
1635976200,5e-05,5.34e-05,5.34e-05,5.15e-05,4650432238
1635975900,5.24e-05,5.34e-05,5.26e-05,5.33e-05,1312560964
1635975600,5e-05,5.3e-05,5.06e-05,5.25e-05,2455531809
1635975300,4.8e-05,5.06e-05,4.8e-05,5.06e-05,1744756717
1635975000,4.51e-05,5.07e-05,5.02e-05,4.88e-05,2766518977
1635974700,4.4e-05,5.18e-05,4.4e-05,5.09e-05,2213501976
1635974400,4.02e-05,5.13e-05,5.12e-05,4.4e-05,5366736621
1635974100,5.04e-05,5.25e-05,5.17e-05,5.04e-05,928371160
1635973800,5.15e-05,5.29e-05,5.2e-05,5.17e-05,1116596188
1635973500,5.16e-05,5.38e-05,5.38e-05,5.22e-05,731338123
1635973200,5.25e-05,5.4e-05,5.25e-05,5.37e-05,948175342
